全模块合成测试账号；密码统一 123456。学生登录用一卡通号。
账号 | 密码 | 角色 | 姓名/说明 | 场景 | 首次改密
213260554 | 123456 | STUDENT | 陈子涵 | 订单与购物车；学籍=ACTIVE | 否
213260555 | 123456 | STUDENT | 褚子涵 | 订单与购物车；学籍=ACTIVE | 否
213260556 | 123456 | STUDENT | 卫子涵 | 订单与购物车；学籍=ACTIVE | 否
213260557 | 123456 | STUDENT | 蒋子涵 | 订单与购物车；学籍=ACTIVE | 否
213260558 | 123456 | STUDENT | 沈子涵 | 订单与购物车；学籍=ACTIVE | 否
213260559 | 123456 | STUDENT | 韩子涵 | 订单与购物车；学籍=ACTIVE | 否
213260560 | 123456 | STUDENT | 杨子涵 | 订单与购物车；学籍=ACTIVE | 否
213260561 | 123456 | STUDENT | 赵思远 | 订单与购物车；学籍=ACTIVE | 否
213260562 | 123456 | STUDENT | 钱思远 | 订单与购物车；学籍=ACTIVE | 否
213260563 | 123456 | STUDENT | 孙思远 | 订单与购物车；学籍=ACTIVE | 否
213260564 | 123456 | STUDENT | 李思远 | 订单与购物车；学籍=ACTIVE | 否
213260565 | 123456 | STUDENT | 周思远 | 订单与购物车；学籍=ACTIVE | 否
213260566 | 123456 | STUDENT | 吴思远 | 订单与购物车；学籍=ACTIVE | 否
213260567 | 123456 | STUDENT | 郑思远 | 订单与购物车；学籍=ACTIVE | 否
213260568 | 123456 | STUDENT | 王思远 | 订单与购物车；学籍=ACTIVE | 否
213260569 | 123456 | STUDENT | 冯思远 | 订单与购物车；学籍=ACTIVE | 否
213260570 | 123456 | STUDENT | 陈思远 | 订单与购物车；学籍=ACTIVE | 否
213260571 | 123456 | STUDENT | 褚思远 | 订单与购物车；学籍=ACTIVE | 否
213260572 | 123456 | STUDENT | 卫思远 | 订单与购物车；学籍=ACTIVE | 否
213260573 | 123456 | STUDENT | 蒋思远 | 订单与购物车；学籍=ACTIVE | 否
213260574 | 123456 | STUDENT | 沈思远 | 订单与购物车；学籍=ACTIVE | 否
213260575 | 123456 | STUDENT | 韩思远 | 订单与购物车；学籍=ACTIVE | 否
213260576 | 123456 | STUDENT | 杨思远 | 订单与购物车；学籍=ACTIVE | 否
213260577 | 123456 | STUDENT | 赵欣然 | 订单与购物车；学籍=ACTIVE | 否
213260578 | 123456 | STUDENT | 钱欣然 | 订单与购物车；学籍=ACTIVE | 否
213260579 | 123456 | STUDENT | 孙欣然 | 订单与购物车；学籍=ACTIVE | 否
213260580 | 123456 | STUDENT | 李欣然 | 订单与购物车；学籍=ACTIVE | 否
213260581 | 123456 | STUDENT | 周欣然 | 订单与购物车；学籍=ACTIVE | 否
213260582 | 123456 | STUDENT | 吴欣然 | 订单与购物车；学籍=ACTIVE | 否
213260583 | 123456 | STUDENT | 郑欣然 | 订单与购物车；学籍=ACTIVE | 否
213260584 | 123456 | STUDENT | 王欣然 | 订单与购物车；学籍=ACTIVE | 否
213260585 | 123456 | STUDENT | 冯欣然 | 订单与购物车；学籍=ACTIVE | 否
213260586 | 123456 | STUDENT | 陈欣然 | 订单与购物车；学籍=ACTIVE | 否
213260587 | 123456 | STUDENT | 褚欣然 | 订单与购物车；学籍=ACTIVE | 否
213260588 | 123456 | STUDENT | 卫欣然 | 订单与购物车；学籍=ACTIVE | 否
213260589 | 123456 | STUDENT | 蒋欣然 | 订单与购物车；学籍=ACTIVE | 否
213260590 | 123456 | STUDENT | 沈欣然 | 订单与购物车；学籍=ACTIVE | 否
213260591 | 123456 | STUDENT | 韩欣然 | 订单与购物车；学籍=ACTIVE | 否
213260592 | 123456 | STUDENT | 杨欣然 | 订单与购物车；学籍=ACTIVE | 否
213260593 | 123456 | STUDENT | 赵浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260594 | 123456 | STUDENT | 钱浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260595 | 123456 | STUDENT | 孙浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260596 | 123456 | STUDENT | 李浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260597 | 123456 | STUDENT | 周浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260598 | 123456 | STUDENT | 吴浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260599 | 123456 | STUDENT | 郑浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260600 | 123456 | STUDENT | 王浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260601 | 123456 | STUDENT | 冯浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260602 | 123456 | STUDENT | 陈浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260603 | 123456 | STUDENT | 褚浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260604 | 123456 | STUDENT | 卫浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260605 | 123456 | STUDENT | 蒋浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260606 | 123456 | STUDENT | 沈浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260607 | 123456 | STUDENT | 韩浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260608 | 123456 | STUDENT | 杨浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260609 | 123456 | STUDENT | 赵若宁 | 订单与购物车；学籍=ACTIVE | 否
213260610 | 123456 | STUDENT | 钱若宁 | 订单与购物车；学籍=ACTIVE | 否
213260611 | 123456 | STUDENT | 孙若宁 | 订单与购物车；学籍=ACTIVE | 否
213260612 | 123456 | STUDENT | 李若宁 | 订单与购物车；学籍=ACTIVE | 否
213260613 | 123456 | STUDENT | 周若宁 | 订单与购物车；学籍=ACTIVE | 否
213260614 | 123456 | STUDENT | 吴若宁 | 订单与购物车；学籍=ACTIVE | 否
213260615 | 123456 | STUDENT | 郑若宁 | 订单与购物车；学籍=ACTIVE | 否
213260616 | 123456 | STUDENT | 王若宁 | 订单与购物车；学籍=ACTIVE | 否
213260617 | 123456 | STUDENT | 冯若宁 | 订单与购物车；学籍=ACTIVE | 否
213260618 | 123456 | STUDENT | 陈若宁 | 订单与购物车；学籍=ACTIVE | 否
213260619 | 123456 | STUDENT | 褚若宁 | 订单与购物车；学籍=ACTIVE | 否
213260620 | 123456 | STUDENT | 卫若宁 | 订单与购物车；学籍=ACTIVE | 否
213260621 | 123456 | STUDENT | 蒋若宁 | 订单与购物车；学籍=ACTIVE | 否
213260622 | 123456 | STUDENT | 沈若宁 | 订单与购物车；学籍=ACTIVE | 否
213260623 | 123456 | STUDENT | 韩若宁 | 订单与购物车；学籍=ACTIVE | 否
213260624 | 123456 | STUDENT | 杨若宁 | 订单与购物车；学籍=ACTIVE | 否
213260625 | 123456 | STUDENT | 赵文博 | 订单与购物车；学籍=ACTIVE | 否
213260626 | 123456 | STUDENT | 钱文博 | 订单与购物车；学籍=ACTIVE | 否
213260627 | 123456 | STUDENT | 孙文博 | 订单与购物车；学籍=ACTIVE | 否
213260628 | 123456 | STUDENT | 李文博 | 订单与购物车；学籍=ACTIVE | 否
213260629 | 123456 | STUDENT | 周文博 | 订单与购物车；学籍=ACTIVE | 否
213260630 | 123456 | STUDENT | 吴文博 | 订单与购物车；学籍=ACTIVE | 否
213260631 | 123456 | STUDENT | 郑文博 | 订单与购物车；学籍=ACTIVE | 否
213260632 | 123456 | STUDENT | 王文博 | 订单与购物车；学籍=ACTIVE | 否
213260633 | 123456 | STUDENT | 冯文博 | 订单与购物车；学籍=ACTIVE | 否
213260634 | 123456 | STUDENT | 陈文博 | 订单与购物车；学籍=ACTIVE | 否
213260635 | 123456 | STUDENT | 褚文博 | 订单与购物车；学籍=ACTIVE | 否
213260636 | 123456 | STUDENT | 卫文博 | 订单与购物车；学籍=ACTIVE | 否
213260637 | 123456 | STUDENT | 蒋文博 | 订单与购物车；学籍=ACTIVE | 否
213260638 | 123456 | STUDENT | 沈文博 | 订单与购物车；学籍=ACTIVE | 否
213260639 | 123456 | STUDENT | 韩文博 | 订单与购物车；学籍=ACTIVE | 否
213260640 | 123456 | STUDENT | 杨文博 | 订单与购物车；学籍=ACTIVE | 否
213260641 | 123456 | STUDENT | 赵明轩 | 订单与购物车；学籍=ACTIVE | 否
213260642 | 123456 | STUDENT | 钱明轩 | 订单与购物车；学籍=ACTIVE | 否
213260643 | 123456 | STUDENT | 孙明轩 | 订单与购物车；学籍=ACTIVE | 否
213260644 | 123456 | STUDENT | 李明轩 | 订单与购物车；学籍=ACTIVE | 否
213260645 | 123456 | STUDENT | 周明轩 | 订单与购物车；学籍=ACTIVE | 否
213260646 | 123456 | STUDENT | 吴明轩 | 订单与购物车；学籍=ACTIVE | 否
213260647 | 123456 | STUDENT | 郑明轩 | 订单与购物车；学籍=ACTIVE | 否
213260648 | 123456 | STUDENT | 王明轩 | 订单与购物车；学籍=ACTIVE | 否
213260649 | 123456 | STUDENT | 冯明轩 | 订单与购物车；学籍=ACTIVE | 否
213260650 | 123456 | STUDENT | 陈明轩 | 订单与购物车；学籍=ACTIVE | 否
213260651 | 123456 | STUDENT | 褚明轩 | 订单与购物车；学籍=ACTIVE | 否
213260652 | 123456 | STUDENT | 卫明轩 | 订单与购物车；学籍=ACTIVE | 否
213260653 | 123456 | STUDENT | 蒋明轩 | 订单与购物车；学籍=ACTIVE | 否
213260654 | 123456 | STUDENT | 沈明轩 | 订单与购物车；学籍=ACTIVE | 否
213260655 | 123456 | STUDENT | 韩明轩 | 订单与购物车；学籍=ACTIVE | 否
213260656 | 123456 | STUDENT | 杨明轩 | 订单与购物车；学籍=ACTIVE | 否
213260657 | 123456 | STUDENT | 赵雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260658 | 123456 | STUDENT | 钱雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260659 | 123456 | STUDENT | 孙雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260660 | 123456 | STUDENT | 李雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260661 | 123456 | STUDENT | 周雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260662 | 123456 | STUDENT | 吴雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260663 | 123456 | STUDENT | 郑雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260664 | 123456 | STUDENT | 王雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260665 | 123456 | STUDENT | 冯雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260666 | 123456 | STUDENT | 陈雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260667 | 123456 | STUDENT | 褚雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260668 | 123456 | STUDENT | 卫雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260669 | 123456 | STUDENT | 蒋雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260670 | 123456 | STUDENT | 沈雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260671 | 123456 | STUDENT | 韩雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260672 | 123456 | STUDENT | 杨雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260673 | 123456 | STUDENT | 赵子涵 | 订单与购物车；学籍=ACTIVE | 否
213260674 | 123456 | STUDENT | 钱子涵 | 订单与购物车；学籍=ACTIVE | 否
213260675 | 123456 | STUDENT | 孙子涵 | 订单与购物车；学籍=ACTIVE | 否
213260676 | 123456 | STUDENT | 李子涵 | 订单与购物车；学籍=ACTIVE | 否
213260677 | 123456 | STUDENT | 周子涵 | 订单与购物车；学籍=ACTIVE | 否
213260678 | 123456 | STUDENT | 吴子涵 | 订单与购物车；学籍=ACTIVE | 否
213260679 | 123456 | STUDENT | 郑子涵 | 订单与购物车；学籍=ACTIVE | 否
213260680 | 123456 | STUDENT | 王子涵 | 订单与购物车；学籍=ACTIVE | 否
213260681 | 123456 | STUDENT | 冯子涵 | 订单与购物车；学籍=ACTIVE | 否
213260682 | 123456 | STUDENT | 陈子涵 | 订单与购物车；学籍=ACTIVE | 否
213260683 | 123456 | STUDENT | 褚子涵 | 订单与购物车；学籍=ACTIVE | 否
213260684 | 123456 | STUDENT | 卫子涵 | 订单与购物车；学籍=ACTIVE | 否
213260685 | 123456 | STUDENT | 蒋子涵 | 订单与购物车；学籍=ACTIVE | 否
213260686 | 123456 | STUDENT | 沈子涵 | 订单与购物车；学籍=ACTIVE | 否
213260687 | 123456 | STUDENT | 韩子涵 | 订单与购物车；学籍=ACTIVE | 否
213260688 | 123456 | STUDENT | 杨子涵 | 订单与购物车；学籍=ACTIVE | 否
213260689 | 123456 | STUDENT | 赵思远 | 订单与购物车；学籍=ACTIVE | 否
213260690 | 123456 | STUDENT | 钱思远 | 订单与购物车；学籍=ACTIVE | 否
213260691 | 123456 | STUDENT | 孙思远 | 订单与购物车；学籍=ACTIVE | 否
213260692 | 123456 | STUDENT | 李思远 | 订单与购物车；学籍=ACTIVE | 否
213260693 | 123456 | STUDENT | 周思远 | 订单与购物车；学籍=ACTIVE | 否
213260694 | 123456 | STUDENT | 吴思远 | 订单与购物车；学籍=ACTIVE | 否
213260695 | 123456 | STUDENT | 郑思远 | 订单与购物车；学籍=ACTIVE | 否
213260696 | 123456 | STUDENT | 王思远 | 订单与购物车；学籍=ACTIVE | 否
213260697 | 123456 | STUDENT | 冯思远 | 订单与购物车；学籍=ACTIVE | 否
213260698 | 123456 | STUDENT | 陈思远 | 订单与购物车；学籍=ACTIVE | 否
213260699 | 123456 | STUDENT | 褚思远 | 订单与购物车；学籍=ACTIVE | 否
213260700 | 123456 | STUDENT | 卫思远 | 订单与购物车；学籍=ACTIVE | 否
213260701 | 123456 | STUDENT | 蒋思远 | 普通学生；学籍=ACTIVE | 否
213260702 | 123456 | STUDENT | 沈思远 | 普通学生；学籍=ACTIVE | 否
213260703 | 123456 | STUDENT | 韩思远 | 普通学生；学籍=ACTIVE | 否
213260704 | 123456 | STUDENT | 杨思远 | 普通学生；学籍=ACTIVE | 否
213260705 | 123456 | STUDENT | 赵欣然 | 普通学生；学籍=ACTIVE | 否
213260706 | 123456 | STUDENT | 钱欣然 | 普通学生；学籍=ACTIVE | 否
213260707 | 123456 | STUDENT | 孙欣然 | 普通学生；学籍=ACTIVE | 否
213260708 | 123456 | STUDENT | 李欣然 | 普通学生；学籍=ACTIVE | 否
213260709 | 123456 | STUDENT | 周欣然 | 普通学生；学籍=ACTIVE | 否
213260710 | 123456 | STUDENT | 吴欣然 | 普通学生；学籍=ACTIVE | 否
213260711 | 123456 | STUDENT | 郑欣然 | 普通学生；学籍=ACTIVE | 否
213260712 | 123456 | STUDENT | 王欣然 | 普通学生；学籍=ACTIVE | 否
213260713 | 123456 | STUDENT | 冯欣然 | 普通学生；学籍=ACTIVE | 否
213260714 | 123456 | STUDENT | 陈欣然 | 普通学生；学籍=ACTIVE | 否
213260715 | 123456 | STUDENT | 褚欣然 | 普通学生；学籍=ACTIVE | 否
213260716 | 123456 | STUDENT | 卫欣然 | 普通学生；学籍=ACTIVE | 否
213260717 | 123456 | STUDENT | 蒋欣然 | 普通学生；学籍=ACTIVE | 否
213260718 | 123456 | STUDENT | 沈欣然 | 普通学生；学籍=ACTIVE | 否
213260719 | 123456 | STUDENT | 韩欣然 | 普通学生；学籍=ACTIVE | 否
213260720 | 123456 | STUDENT | 杨欣然 | 普通学生；学籍=ACTIVE | 否
213260721 | 123456 | STUDENT | 赵浩宇 | 普通学生；学籍=ACTIVE | 否
213260722 | 123456 | STUDENT | 钱浩宇 | 普通学生；学籍=ACTIVE | 否
213260723 | 123456 | STUDENT | 孙浩宇 | 普通学生；学籍=ACTIVE | 否
213260724 | 123456 | STUDENT | 李浩宇 | 普通学生；学籍=ACTIVE | 否
213260725 | 123456 | STUDENT | 周浩宇 | 普通学生；学籍=ACTIVE | 否
213260726 | 123456 | STUDENT | 吴浩宇 | 普通学生；学籍=ACTIVE | 否
213260727 | 123456 | STUDENT | 郑浩宇 | 普通学生；学籍=ACTIVE | 否
213260728 | 123456 | STUDENT | 王浩宇 | 普通学生；学籍=ACTIVE | 否
213260729 | 123456 | STUDENT | 冯浩宇 | 普通学生；学籍=ACTIVE | 否
213260730 | 123456 | STUDENT | 陈浩宇 | 普通学生；学籍=ACTIVE | 否
213260731 | 123456 | STUDENT | 褚浩宇 | 普通学生；学籍=ACTIVE | 否
213260732 | 123456 | STUDENT | 卫浩宇 | 普通学生；学籍=ACTIVE | 否
213260733 | 123456 | STUDENT | 蒋浩宇 | 普通学生；学籍=ACTIVE | 否
213260734 | 123456 | STUDENT | 沈浩宇 | 普通学生；学籍=ACTIVE | 否
213260735 | 123456 | STUDENT | 韩浩宇 | 普通学生；学籍=ACTIVE | 否
213260736 | 123456 | STUDENT | 杨浩宇 | 普通学生；学籍=ACTIVE | 否
213260737 | 123456 | STUDENT | 赵若宁 | 普通学生；学籍=ACTIVE | 否
213260738 | 123456 | STUDENT | 钱若宁 | 普通学生；学籍=ACTIVE | 否
213260739 | 123456 | STUDENT | 孙若宁 | 普通学生；学籍=ACTIVE | 否
213260740 | 123456 | STUDENT | 李若宁 | 普通学生；学籍=ACTIVE | 否
213260741 | 123456 | STUDENT | 周若宁 | 普通学生；学籍=ACTIVE | 否
213260742 | 123456 | STUDENT | 吴若宁 | 普通学生；学籍=ACTIVE | 否
213260743 | 123456 | STUDENT | 郑若宁 | 普通学生；学籍=ACTIVE | 否
213260744 | 123456 | STUDENT | 王若宁 | 普通学生；学籍=ACTIVE | 否
213260745 | 123456 | STUDENT | 冯若宁 | 普通学生；学籍=ACTIVE | 否
213260746 | 123456 | STUDENT | 陈若宁 | 普通学生；学籍=ACTIVE | 否
213260747 | 123456 | STUDENT | 褚若宁 | 普通学生；学籍=ACTIVE | 否
213260748 | 123456 | STUDENT | 卫若宁 | 普通学生；学籍=ACTIVE | 否
213260749 | 123456 | STUDENT | 蒋若宁 | 普通学生；学籍=ACTIVE | 否
213260750 | 123456 | STUDENT | 沈若宁 | 普通学生；学籍=ACTIVE | 否
213260751 | 123456 | STUDENT | 韩若宁 | 普通学生；学籍=ACTIVE | 否
213260752 | 123456 | STUDENT | 杨若宁 | 普通学生；学籍=ACTIVE | 否
213260753 | 123456 | STUDENT | 赵文博 | 普通学生；学籍=ACTIVE | 否
213260754 | 123456 | STUDENT | 钱文博 | 普通学生；学籍=ACTIVE | 否
213260755 | 123456 | STUDENT | 孙文博 | 普通学生；学籍=ACTIVE | 否
213260756 | 123456 | STUDENT | 李文博 | 普通学生；学籍=ACTIVE | 否
213260757 | 123456 | STUDENT | 周文博 | 普通学生；学籍=ACTIVE | 否
213260758 | 123456 | STUDENT | 吴文博 | 普通学生；学籍=ACTIVE | 否
213260759 | 123456 | STUDENT | 郑文博 | 普通学生；学籍=ACTIVE | 否
213260760 | 123456 | STUDENT | 王文博 | 普通学生；学籍=ACTIVE | 否
213260761 | 123456 | STUDENT | 冯文博 | 普通学生；学籍=ACTIVE | 否
213260762 | 123456 | STUDENT | 陈文博 | 普通学生；学籍=ACTIVE | 否
213260763 | 123456 | STUDENT | 褚文博 | 普通学生；学籍=ACTIVE | 否
213260764 | 123456 | STUDENT | 卫文博 | 普通学生；学籍=ACTIVE | 否
213260765 | 123456 | STUDENT | 蒋文博 | 普通学生；学籍=ACTIVE | 否
213260766 | 123456 | STUDENT | 沈文博 | 普通学生；学籍=ACTIVE | 否
213260767 | 123456 | STUDENT | 韩文博 | 普通学生；学籍=ACTIVE | 否
213260768 | 123456 | STUDENT | 杨文博 | 普通学生；学籍=ACTIVE | 否
213260769 | 123456 | STUDENT | 赵明轩 | 普通学生；学籍=ACTIVE | 否
213260770 | 123456 | STUDENT | 钱明轩 | 普通学生；学籍=ACTIVE | 否
213260771 | 123456 | STUDENT | 孙明轩 | 普通学生；学籍=ACTIVE | 否
213260772 | 123456 | STUDENT | 李明轩 | 普通学生；学籍=ACTIVE | 否
213260773 | 123456 | STUDENT | 周明轩 | 普通学生；学籍=ACTIVE | 否
213260774 | 123456 | STUDENT | 吴明轩 | 普通学生；学籍=ACTIVE | 否
213260775 | 123456 | STUDENT | 郑明轩 | 普通学生；学籍=ACTIVE | 否
213260776 | 123456 | STUDENT | 王明轩 | 普通学生；学籍=ACTIVE | 否
213260777 | 123456 | STUDENT | 冯明轩 | 普通学生；学籍=ACTIVE | 否
213260778 | 123456 | STUDENT | 陈明轩 | 普通学生；学籍=ACTIVE | 否
213260779 | 123456 | STUDENT | 褚明轩 | 普通学生；学籍=ACTIVE | 否
213260780 | 123456 | STUDENT | 卫明轩 | 普通学生；学籍=ACTIVE | 否
213260781 | 123456 | STUDENT | 蒋明轩 | 普通学生；学籍=ACTIVE | 否
213260782 | 123456 | STUDENT | 沈明轩 | 普通学生；学籍=ACTIVE | 否
213260783 | 123456 | STUDENT | 韩明轩 | 普通学生；学籍=ACTIVE | 否
213260784 | 123456 | STUDENT | 杨明轩 | 普通学生；学籍=ACTIVE | 否
213260785 | 123456 | STUDENT | 赵雨桐 | 普通学生；学籍=ACTIVE | 否
213260786 | 123456 | STUDENT | 钱雨桐 | 普通学生；学籍=ACTIVE | 否
213260787 | 123456 | STUDENT | 孙雨桐 | 普通学生；学籍=ACTIVE | 否
213260788 | 123456 | STUDENT | 李雨桐 | 普通学生；学籍=ACTIVE | 否
213260789 | 123456 | STUDENT | 周雨桐 | 普通学生；学籍=ACTIVE | 否
213260790 | 123456 | STUDENT | 吴雨桐 | 普通学生；学籍=ACTIVE | 否
213260791 | 123456 | STUDENT | 郑雨桐 | 普通学生；学籍=ACTIVE | 否
213260792 | 123456 | STUDENT | 王雨桐 | 普通学生；学籍=ACTIVE | 否
213260793 | 123456 | STUDENT | 冯雨桐 | 普通学生；学籍=ACTIVE | 否
213260794 | 123456 | STUDENT | 陈雨桐 | 普通学生；学籍=ACTIVE | 否
213260795 | 123456 | STUDENT | 褚雨桐 | 普通学生；学籍=ACTIVE | 否
213260796 | 123456 | STUDENT | 卫雨桐 | 普通学生；学籍=ACTIVE | 否
213260797 | 123456 | STUDENT | 蒋雨桐 | 普通学生；学籍=ACTIVE | 否
213260798 | 123456 | STUDENT | 沈雨桐 | 普通学生；学籍=ACTIVE | 否
213260799 | 123456 | STUDENT | 韩雨桐 | 普通学生；学籍=ACTIVE | 否
213260800 | 123456 | STUDENT | 杨雨桐 | 普通学生；学籍=ACTIVE | 否
213260801 | 123456 | STUDENT | 赵子涵 | 普通学生；学籍=ACTIVE | 否
213260802 | 123456 | STUDENT | 钱子涵 | 普通学生；学籍=ACTIVE | 否
213260803 | 123456 | STUDENT | 孙子涵 | 普通学生；学籍=ACTIVE | 否
213260804 | 123456 | STUDENT | 李子涵 | 普通学生；学籍=ACTIVE | 否
213260805 | 123456 | STUDENT | 周子涵 | 普通学生；学籍=ACTIVE | 否
213260806 | 123456 | STUDENT | 吴子涵 | 普通学生；学籍=ACTIVE | 否
213260807 | 123456 | STUDENT | 郑子涵 | 普通学生；学籍=ACTIVE | 否
213260808 | 123456 | STUDENT | 王子涵 | 普通学生；学籍=ACTIVE | 否
213260809 | 123456 | STUDENT | 冯子涵 | 普通学生；学籍=ACTIVE | 否
213260810 | 123456 | STUDENT | 陈子涵 | 普通学生；学籍=ACTIVE | 否
213260811 | 123456 | STUDENT | 褚子涵 | 普通学生；学籍=ACTIVE | 否
213260812 | 123456 | STUDENT | 卫子涵 | 普通学生；学籍=ACTIVE | 否
213260813 | 123456 | STUDENT | 蒋子涵 | 普通学生；学籍=ACTIVE | 否
213260814 | 123456 | STUDENT | 沈子涵 | 普通学生；学籍=ACTIVE | 否
213260815 | 123456 | STUDENT | 韩子涵 | 普通学生；学籍=ACTIVE | 否
213260816 | 123456 | STUDENT | 杨子涵 | 普通学生；学籍=ACTIVE | 否
213260817 | 123456 | STUDENT | 赵思远 | 普通学生；学籍=ACTIVE | 否
213260818 | 123456 | STUDENT | 钱思远 | 普通学生；学籍=ACTIVE | 否
213260819 | 123456 | STUDENT | 孙思远 | 普通学生；学籍=ACTIVE | 否
213260820 | 123456 | STUDENT | 李思远 | 普通学生；学籍=ACTIVE | 否
213260821 | 123456 | STUDENT | 周思远 | 普通学生；学籍=ACTIVE | 否
213260822 | 123456 | STUDENT | 吴思远 | 普通学生；学籍=ACTIVE | 否
213260823 | 123456 | STUDENT | 郑思远 | 普通学生；学籍=ACTIVE | 否
213260824 | 123456 | STUDENT | 王思远 | 普通学生；学籍=ACTIVE | 否
213260825 | 123456 | STUDENT | 冯思远 | 普通学生；学籍=ACTIVE | 否
213260826 | 123456 | STUDENT | 陈思远 | 普通学生；学籍=ACTIVE | 否
213260827 | 123456 | STUDENT | 褚思远 | 普通学生；学籍=ACTIVE | 否
213260828 | 123456 | STUDENT | 卫思远 | 普通学生；学籍=ACTIVE | 否
213260829 | 123456 | STUDENT | 蒋思远 | 普通学生；学籍=ACTIVE | 否
213260830 | 123456 | STUDENT | 沈思远 | 普通学生；学籍=ACTIVE | 否
213260831 | 123456 | STUDENT | 韩思远 | 普通学生；学籍=ACTIVE | 否
213260832 | 123456 | STUDENT | 杨思远 | 普通学生；学籍=ACTIVE | 否
213260833 | 123456 | STUDENT | 赵欣然 | 普通学生；学籍=ACTIVE | 否
213260834 | 123456 | STUDENT | 钱欣然 | 普通学生；学籍=ACTIVE | 否
213260835 | 123456 | STUDENT | 孙欣然 | 普通学生；学籍=ACTIVE | 否
213260836 | 123456 | STUDENT | 李欣然 | 普通学生；学籍=ACTIVE | 否
213260837 | 123456 | STUDENT | 周欣然 | 普通学生；学籍=ACTIVE | 否
213260838 | 123456 | STUDENT | 吴欣然 | 普通学生；学籍=ACTIVE | 否
213260839 | 123456 | STUDENT | 郑欣然 | 普通学生；学籍=ACTIVE | 否
213260840 | 123456 | STUDENT | 王欣然 | 普通学生；学籍=ACTIVE | 否
213260841 | 123456 | STUDENT | 冯欣然 | 普通学生；学籍=ACTIVE | 否
213260842 | 123456 | STUDENT | 陈欣然 | 普通学生；学籍=ACTIVE | 否
213260843 | 123456 | STUDENT | 褚欣然 | 普通学生；学籍=ACTIVE | 否
213260844 | 123456 | STUDENT | 卫欣然 | 普通学生；学籍=ACTIVE | 否
213260845 | 123456 | STUDENT | 蒋欣然 | 普通学生；学籍=ACTIVE | 否
213260846 | 123456 | STUDENT | 沈欣然 | 普通学生；学籍=ACTIVE | 否
213260847 | 123456 | STUDENT | 韩欣然 | 普通学生；学籍=ACTIVE | 否
213260848 | 123456 | STUDENT | 杨欣然 | 普通学生；学籍=ACTIVE | 否
213260849 | 123456 | STUDENT | 赵浩宇 | 普通学生；学籍=ACTIVE | 否
213260850 | 123456 | STUDENT | 钱浩宇 | 普通学生；学籍=ACTIVE | 否
213260851 | 123456 | STUDENT | 孙浩宇 | 普通学生；学籍=ACTIVE | 否
213260852 | 123456 | STUDENT | 李浩宇 | 普通学生；学籍=ACTIVE | 否
213260853 | 123456 | STUDENT | 周浩宇 | 普通学生；学籍=ACTIVE | 否
213260854 | 123456 | STUDENT | 吴浩宇 | 普通学生；学籍=ACTIVE | 否
213260855 | 123456 | STUDENT | 郑浩宇 | 普通学生；学籍=ACTIVE | 否
213260856 | 123456 | STUDENT | 王浩宇 | 普通学生；学籍=ACTIVE | 否
213260857 | 123456 | STUDENT | 冯浩宇 | 普通学生；学籍=ACTIVE | 否
213260858 | 123456 | STUDENT | 陈浩宇 | 普通学生；学籍=ACTIVE | 否
213260859 | 123456 | STUDENT | 褚浩宇 | 普通学生；学籍=ACTIVE | 否
213260860 | 123456 | STUDENT | 卫浩宇 | 普通学生；学籍=ACTIVE | 否
213260861 | 123456 | STUDENT | 蒋浩宇 | 普通学生；学籍=ACTIVE | 否
213260862 | 123456 | STUDENT | 沈浩宇 | 普通学生；学籍=ACTIVE | 否
213260863 | 123456 | STUDENT | 韩浩宇 | 普通学生；学籍=ACTIVE | 否
